链接 (Link),类型 (Type),KOL/Live/博主/素材名称,发布日期,成本 (USD),投放地区,平台,浏览量,点赞,Comments,ACOS,Sales,Meta-CPC,Sales/CPM,CPA,转化,备注,更新时间
AMZ DE,,亚马逊 B010320 视频,2025/6/16-2025/6/23,$121.40,DE,SBV,5498,,,,,,0.06,,,,
AMZ US,,Ulikeit224201,2025/6/11-2025/7/1,$283.32,US,SB,20493,0.2886,14,13205.84,,,,0.121,,,
AMZ US,,Ulikeit224201,2025/6/11-2025/7/1,$255.16,US,SBV,96911,0.8655,5,9549.95,,,,0.0211,,,
AMZ US,,08. Ulikeit公告,2025/6/24-2025/6/29,$41.08,US,SBV,7055,0,,,,,0.3549,,,,
https://youtube.com/shorts/KevkvwZ90?si=p8iEzD-t8FWQyR3F,,,2025/6/20,,,YouTube,4099,23,0,,,,,,,,2025-6-26
https://youtube.com/shorts/JLuACPB0uM?si=oYlqf3l8qYpB4kM,,,2025/6/23,,,YouTube,246,15,1,,,,,,,,2025-6-26
https://youtube.com/shorts/Tolm_Ddnq-M?si=fHw-jX3mEelMYD,,,2025/6/23,,,YouTube,1591,29,1,,,,,,,截至2025年7月3日“EYT Storm”监测: 16万,2025-7-3
https://youtube.com/shorts/oHcbSGs34g?si=v2aVvOQbF1tCOb,,,2025/6/23,,,YouTube,3669,39,4,,,,,,,,2025-7-3
https://youtube.com/shorts/4x7a30wG8o?si=m5lC8wWJWYk44mYD,,,2025/6/30,,,YouTube,8027,58,0,,,,,,,截至2025年7月10日“EYT Storm”监测: 16万,2025-7-10
https://youtube.com/shorts/9J1uQc1bLzc?si=xXvA-c6-q21uC9,,,2025/7/2,,,YouTube,2801,201,5,,,,,,,,2025-7-10
[001][Mult Geo] Promoting,,08. 户外，新版,2025/7/4-2025/7/9,$104.25,"Brazil, Chile, Mexico, Peru",Meta,,,,,,0.02,23188,0.05,"表现一般, 平均水平",2025/07/10,
https://youtube.com/shorts/G4N-Xv0v7aY?si=L7w0fL-2v4W6eO,,,2025/7/6,,,YouTube,3040,31,0,,,,,,,,2025-7-10
https://youtube.com/shorts/dTeYApX-oM?si=G-kUaMh3XzF6rX,,,2025/7/8,,,YouTube,1841,35,3,,,,,,,,2025-7-10
https://youtube.com/shorts/E7yYJMcDSw?si=yv7CqOFAw-u0M,,,2025/7/8,,,YouTube,2742,36,1,,,,,,,,2025-7-10
https://youtube.com/shorts/s03F1kF3D_A?si=sXpI3pM9fmXm...,,,2025/7/8,,,YouTube,1056,13,1,,,,,,,截至2025年7月10日“EYT Storm”监测: 16万,2025-7-10
[001][EU] Promoting Tribit Official Site Mini,,Total Stormbox Blast B- 2025/7/11-14,2025/7/11-2025/7/14,$116.46,"Germany, Spain, France, UK, Italy, NL",Meta,,,,,,0.05,23518,0.0427,,2025/07/15,
