No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,Views,selfkoc_post_date,selfkoc_video_id,,,,,,,,,,
41,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/Iuj8GaladWs,37,0,7119,2025/2/13,Iuj8GaladWs,,,,,,,,,,
42,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/M7RpdAStFX0,43,0,6943,2025/3/2,M7RpdAStFX0,,,,,,,,,,
43,youtube,@myintgotsu,https://www.youtube.com//shorts/rtzByiHVTiE,33,1,6521,2025/2/20,rtzByiHVTiE,,,,,,,,,,
44,youtube,@myintgotsu,https://www.youtube.com//shorts/EtSSJAyfpuA,52,0,6150,2025/2/18,EtSSJAyfpuA,,,,,,,,,,
45,youtube,@delimiroorozc,https://www.youtube.com//shorts/DB00J3pIZXk,71,0,6050,2025/1/30,DB00J3pIZXk,,,,,,,,,,
46,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/mYFtZnX-kXw,27,0,5940,2025/3/30,mYFtZnX-kXw,,,,,,,,,,
47,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/_WSL40QOwVA,41,0,5912,2025/3/9,_WSL40QOwVA,,,,,,,,,,
48,youtube,@delimiroorozc,https://www.youtube.com//shorts/fJMl2Vrj7a4,44,0,5844,2025/3/12,fJMl2Vrj7a4,,,,,,,,,,
49,youtube,@delimiroorozc,https://www.youtube.com//shorts/6PxVQmLwGrs,62,0,5839,2025/3/2,6PxVQmLwGrs,,,,,,,,,,
50,youtube,@delimiroorozc,https://www.youtube.com//shorts/3sAIpfKY8D0,33,0,5805,2025/2/12,3sAIpfKY8D0,,,,,,,,,,
51,youtube,@delimiroorozc,https://www.youtube.com//shorts/Gatq8NQF0uw,43,0,5621,2025/3/20,Gatq8NQF0uw,,,,,,,,,,
52,youtube,@delimiroorozc,https://www.youtube.com//shorts/qqesuxs-JAA,38,0,5578,2025/3/7,qqesuxs-JAA,,,,,,,,,,
53,youtube,@delimiroorozc,https://www.youtube.com//shorts/NMKjxZZo4yE,48,0,5425,2025/2/23,NMKjxZZo4yE,,,,,,,,,,
54,youtube,@myintgotsu,https://www.youtube.com//shorts/xlCSvzhMeZo,50,0,5324,2025/3/8,xlCSvzhMeZo,,,,,,,,,,
55,youtube,@delimiroorozc,https://www.youtube.com//shorts/eSJglZpKUJU,51,0,5239,2025/2/19,eSJglZpKUJU,,,,,,,,,,
56,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/b1Wvvl0LvH0,38,0,5237,2025/2/14,b1Wvvl0LvH0,,,,,,,,,,
57,youtube,@myintgotsu,https://www.youtube.com//shorts/wq91C5Dr1ps,54,0,5120,2025/2/19,wq91C5Dr1ps,,,,,,,,,,
58,youtube,@myintgotsu,https://www.youtube.com//shorts/vQywwwqCT1s,27,0,4955,2025/4/4,vQywwwqCT1s,,,,,,,,,,
59,youtube,@myintgotsu,https://www.youtube.com//shorts/OHzrmwQBvLw,52,0,4932,2025/2/8,OHzrmwQBvLw,,,,,,,,,,
60,youtube,@delimiroorozc,https://www.youtube.com//shorts/Rm8MLY1Tiu8,26,0,4912,2025/2/18,Rm8MLY1Tiu8,,,,,,,,,,
61,youtube,@myintgotsu,https://www.youtube.com//shorts/HoN8mQfmgcA,27,0,4892,2025/3/10,HoN8mQfmgcA,,,,,,,,,,
62,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/wjVseNT1uUQ,40,0,4840,2025/2/21,wjVseNT1uUQ,,,,,,,,,,
63,youtube,@myintgotsu,https://www.youtube.com//shorts/FCwn4I6VftM,28,0,4745,2025/3/4,FCwn4I6VftM,,,,,,,,,,
64,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/cBLoKcVKQTE,27,0,4744,2025/4/10,cBLoKcVKQTE,,,,,,,,,,
65,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/qpcjdfWOpvs,43,0,4657,2025/3/21,qpcjdfWOpvs,,,,,,,,,,
66,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/MZR3QSpqBZc,43,0,4645,2025/3/11,MZR3QSpqBZc,,,,,,,,,,
67,youtube,@myintgotsu,https://www.youtube.com//shorts/g_oXoqOkLaQ,38,0,4623,2025/3/7,g_oXoqOkLaQ,,,,,,,,,,
68,youtube,@myintgotsu,https://www.youtube.com//shorts/MDe0nqb_uGA,29,0,4497,2025/2/13,MDe0nqb_uGA,,,,,,,,,,
69,youtube,@stephaniewarner-e1y,https://www.youtube.com//shorts/Tzc97bKQyKw,18,0,4491,2025/4/4,Tzc97bKQyKw,,,,,,,,,,
70,youtube,@myintgotsu,https://www.youtube.com//shorts/jSW90-10I08,22,0,4467,2025/2/26,jSW90-10I08,,,,,,,,,,
71,youtube,@davidmedeiros-f6g,https://www.youtube.com//shorts/dmnI7vLi_IM,44,0,4320,2025/2/12,dmnI7vLi_IM,,,,,,,,,,
72,youtube,@myintgotsu,https://www.youtube.com//shorts/0PBzHe1kby8,23,0,4318,2025/2/23,0PBzHe1kby8,,,,,,,,,,
73,youtube,@myintgotsu,https://www.youtube.com//shorts/Fb37ZIf3Me4,13,2,4232,2025/4/4,Fb37ZIf3Me4,,,,,,,,,,
74,youtube,@bigteddybearskitina,https://www.youtube.com//shorts/3hqaFQOxo3k,35,0,4194,2025/2/20,3hqaFQOxo3k,,,,,,,,,,
75,youtube,@myintgotsu,https://www.youtube.com//shorts/SSJIUQSvOww,39,0,4118,2025/3/11,SSJIUQSvOww,,,,,,,,,,
76,youtube,@delimiroorozc,https://www.youtube.com//shorts/0fJYefazTqI,51,0,4037,2025/2/23,0fJYefazTqI,,,,,,,,,,
77,youtube,@delimiroorozc,https://www.youtube.com//shorts/_BXVKezPSw4,20,0,3998,2025/4/1,_BXVKezPSw4,,,,,,,,,,
78,youtube,@myintgotsu,https://www.youtube.com//shorts/Lq_R85HFz0g,36,0,3977,2025/2/21,Lq_R85HFz0g,,,,,,,,,,
79,youtube,@delimiroorozc,https://www.youtube.com//shorts/_dTl84ICGYI,24,1,3972,2025/3/10,_dTl84ICGYI,,,,,,,,,,
