No.,channel,selfkoc_account,selfkoc_post_url,Likes,Comments,shares,Views,selfkoc_post_date,,selfkoc_video_id
354,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7478339766208040234,40,0,1,812,2025/3/5,,7478339766208040234
355,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7473557937839967531,2,0,0,810,2025/2/21,,7473557937839967531
356,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7470729806297058603,3,1,0,810,2025/2/13,,7470729806297058603
357,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7475023269343612203,2,0,0,806,2025/2/25,,7475023269343612203
358,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7470549886522461482,20,0,0,799,2025/2/12,,7470549886522461482
359,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7471290231350725934,7,0,0,797,2025/2/14,,7471290231350725934
360,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7472947650636123438,23,0,0,788,2025/2/19,,7472947650636123438
361,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7475183090957045038,21,0,0,785,2025/2/25,,7475183090957045038
362,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7469736510963731755,25,0,1,779,2025/2/10,,7469736510963731755
363,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7473159395812068654,14,1,0,776,2025/2/19,,7473159395812068654
364,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7469082690008911146,3,0,0,775,2025/2/9,,7469082690008911146
365,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7470356613778459950,19,0,0,765,2025/2/12,,7470356613778459950
366,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7468337722889899307,4,0,0,757,2025/2/7,,7468337722889899307
367,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7478353763367931179,1,0,0,731,2025/3/5,,7478353763367931179
368,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7467936597418315051,1,0,0,726,2025/2/5,,7467936597418315051
369,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7486877733918657835,15,0,1,724,2025/3/28,,7486877733918657835
370,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7468722799062846766,2,1,0,724,2025/2/8,,7468722799062846766
371,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7468337941497105707,2,0,0,723,2025/2/7,,7468337941497105707
372,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7490223119060290846,24,0,0,722,2025/4/7,,7490223119060290846
373,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7490996442346114350,24,0,1,686,2025/4/9,,7490996442346114350
374,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7486503949801983275,4,0,0,672,2025/3/27,,7486503949801983275
375,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7475023935701142826,1,0,0,660,2025/2/25,,7475023935701142826
376,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7474612296904510766,24,0,0,631,2025/2/23,,7474612296904510766
377,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7472394563290811694,15,0,0,613,2025/2/17,,7472394563290811694
378,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7470727838237297963,20,0,0,612,2025/2/13,,7470727838237297963
379,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7472966611549293870,1,0,0,599,2025/2/19,,7472966611549293870
380,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7477961912127589678,8,0,0,574,2025/3/4,,7477961912127589678
381,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7470728822632271150,21,1,1,569,2025/2/13,,7470728822632271150
382,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7474595808105631022,17,0,1,540,2025/2/23,,7474595808105631022
383,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7468309719623503146,6,1,0,529,2025/2/6,,7468309719623503146
384,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7468337621509639470,19,1,3,523,2025/2/7,,7468337621509639470
385,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7474595841605504298,12,0,0,517,2025/2/23,,7474595841605504298
386,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7464770587966164266,11,0,1,514,2025/1/28,,7464770587966164266
387,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7467573452132617515,2,0,1,490,2025/2/4,,7467573452132617515
388,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7470192755575409966,12,0,3,486,2025/2/12,,7470192755575409966
389,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7469736614147673386,37,0,0,482,2025/2/10,,7469736614147673386
390,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7465368308351569198,19,1,0,480,2025/1/30,,7465368308351569198
391,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7473144562668555566,24,0,1,476,2025/2/19,,7473144562668555566
392,tiktok,@bonoh2306017,https://www.tiktok.com/@bonoh2306017/video/7470727720696106282,4,0,1,471,2025/2/13,,7470727720696106282
393,tiktok,#VALUE!,https://www.tiktok.com/@bigtedd69/photo/7469991371626024234,4,0,1,460,2025/2/11,,#VALUE!
394,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7475729231410973995,8,0,0,458,2025/2/26,,7475729231410973995
395,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7473159866920504622,16,0,1,453,2025/2/19,,7473159866920504622
396,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7474627031662333230,9,0,0,452,2025/2/23,,7474627031662333230
397,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7489835812796779822,6,0,0,442,2025/4/6,,7489835812796779822
398,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7488383137072827690,11,0,0,442,2025/4/2,,7488383137072827690
399,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7473872018623171886,0,0,0,420,2025/2/21,,7473872018623171886
400,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7466480687890156842,14,0,0,413,2025/2/1,,7466480687890156842
401,tiktok,@mariabjdzjo,https://www.tiktok.com/@mariabjdzjo/video/7469742662220795178,4,0,1,409,2025/2/10,,7469742662220795178
402,tiktok,@myintgots,https://www.tiktok.com/@myintgots/video/7470356887284763947,4,0,0,395,2025/2/12,,7470356887284763947
403,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7490223033127308586,8,0,0,394,2025/4/7,,7490223033127308586
404,tiktok,@bigtedd69,https://www.tiktok.com/@bigtedd69/video/7475377172480265518,68,3,9,394,2025/2/26,,7475377172480265518
405,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7468689384536231214,2,0,0,391,2025/2/7,,7468689384536231214
406,tiktok,@bonoh230601,https://www.tiktok.com/@bonoh230601/video/7467214254047792426,4,0,0,390,2025/2/3,,7467214254047792426
407,tiktok,@orozcde,https://www.tiktok.com/@orozcde/video/7465368678142397738,8,1,0,390,2025/1/30,,7465368678142397738
