No.,Region,Platform,kol_account,kol_url,,
130,India,instagram,ankit.joshi._,https://www.instagram.com/reel/C8D6e0vhncJ/,,
131,India,instagram,bobby_ustd,https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fbobby_ustad%2Freel%2FC8Rpk-aSIbm%2F&is_from_rle,,
132,India,youtube,TECHMESH,https://www.youtube.com/watch?v=0AEoRn7LuWA,,
133,India,youtube,Adithya Tech தமிழ்,https://www.youtube.com/watch?v=HutgI3mtJj0,,
134,India,youtube,Nitin Tns Green,https://www.youtube.com/watch?v=REUcxQ5Fb4U,,
135,India,youtube,Mr Rudee,https://www.youtube.com/watch?v=4OXiQ8uekDc,,
136,India,youtube,SteReo,https://www.youtube.com/shorts/I43p8uUxVfQ,,
137,India,instagram,technobhawesh,https://www.instagram.com/reel/C8lRBylidoT/?igsh=NnFrYnpkMHBwazBl,,
138,India,instagram,"techbits__
",https://www.instagram.com/reel/C84NSFqhxpo/?igsh=MTE5Z2U3cXM4eno5ZQ==,,
139,India,youtube,Meta Tech Review,https://www.youtube.com/watch?v=qr-vVB6kMMk,,
140,India,youtube,True Techy,https://www.youtube.com/watch?v=sNaLyJdkDbc&t=239s,,
141,India,youtube,whysotechie,https://www.youtube.com/watch?v=7kKE9EpSv3A,,
142,India,instagram,mrcheri,https://www.instagram.com/mrcheri/,,
143,India,instagram,ask.theashugandhi,https://www.instagram.com/ask.theashugandhi/,,
144,India,instagram,techyoulogy,https://www.instagram.com/techyoulogy?igsh=MXUxODdoOWxscXRvYQ==,,
145,India,youtube,tech therapy,https://www.youtube.com/watch?v=4aoSUNLAENU,,
146,India,youtube,Techum,https://www.youtube.com/watch?v=zQ-91lmmGg4,,
147,India,youtube,Techreflex,https://www.youtube.com/watch?v=9OEpud18Vps&t=41s,,
148,India,instagram,technicoHimanshu,https://www.instagram.com/digi.bytess/,,
149,India,instagram,digi bytess,https://www.instagram.com/digi.bytess/,,
150,India,instagram,pritamtechmind,https://www.instagram.com/reel/C_nc8Jwv22K/?igsh=cTJ1bDA4aWFld2Zh,,
151,India,instagram,gadgetbhaii,https://www.instagram.com/reel/DCE3sRtSjZ6/?igsh=NHo0MTE3ZzFnNGVu,,
152,India,youtube,iGadz Unique,https://www.youtube.com/watch?v=peqbXA1GP5c,,
153,India,youtube,Smart Supporter,https://www.youtube.com/watch?v=HjN08m2fBKA,,
154,India,instagram,True Techy,https://www.instagram.com/p/C_BHo0NzbWo/,,
155,India,instagram,bhavna_pathania,https://www.instagram.com/reel/C_Nku1JPLYE/?igsh=ZjBvdDR5Nzc3dmE4,,
156,India,instagram,tec_viral,https://www.instagram.com/reel/C_dWDHGO5fM/?igsh=MXFkbzhsM29jbHV5MQ==,,
157,India,instagram,Techbit,https://www.instagram.com/reel/C_qBbbNh5Hz/?igsh=MWZxemlvaGNleWJxMw==,,
158,India,instagram,TechnoBhawesh,https://www.instagram.com/reel/C_zLwgxP2Gp/?igsh=MTR6d2VsZWs2dHBzNQ==,,
159,India,youtube,TechnoBhawesh,https://youtube.com/shorts/mn1T6zaxL1Y?feature=share,,
160,India,instagram,ask.theashugandhi,https://www.instagram.com/reel/DABEMOmz8Lq/?igsh=NzdhOTVrbmR6bGhl,,
161,India,instagram,tipsbyayush,https://www.instagram.com/reel/DAQ15G6SoIG/?igsh=MThqMm05ZGx6c3MxNw==,,
162,India,instagram,chad_Ashna,https://www.instagram.com/reel/DAKyaFoppP_/?igsh=NTc4MTIwNjQ2YQ==,,
163,India,instagram,gyan.monkey,https://www.instagram.com/gyan.monkey?igsh=MTZwbTFwaDljeTNlYw==,,
164,India,youtube,Jstech,https://www.youtube.com/watch?v=0mC22Bxte6U,,
165,India,instagram,ankit_ankk,https://www.instagram.com/reel/DBYlZeWSGzb/?igsh=d2kwYjgwYW13dzE0,,
166,India,youtube,Nexgen Harley,https://www.youtube.com/watch?v=6PBQhJ-92Uk,,
167,India,instagram,himanshu,https://www.instagram.com/reel/DC6iWlxSje8/?igsh=ZzZ3cGcwZTV5bDhv,,
168,India,youtube,Rickyrodger,https://www.youtube.com/shorts/6uk7eUx6o8I,,
169,India,instagram,Rickyrodger,https://www.instagram.com/reel/DBMBsjiy65U/?igsh=MXFzdXJyazFqa2Q5dg==,,
170,India,youtube,Techmesh,https://www.youtube.com/watch?v=etBUVnYiPnk,,
171,India,youtube,TheHopelessGeek,https://www.youtube.com/watch?v=i1lr7wzvMgE,,
172,India,youtube,Techreflex,https://www.youtube.com/watch?v=UehOzq6SZos,,
173,India,youtube,Tech Bag Tamil,https://www.youtube.com/watch?v=TrsI1PfRZwA,,
174,India,youtube,mr rudee,https://www.youtube.com/watch?v=TN7Sjhz_XCM,,
175,India,youtube,iGadz Unique,https://www.youtube.com/watch?v=Gz_34v3N5eE,,
176,India,instagram,himanshu,https://www.instagram.com/reel/DC_t66mylrd/?igsh=Yzc0anA0a2tsbmU4,,
177,India,instagram,ask.theashugandhi,https://www.instagram.com/reel/DBrAB_aIsm3/?igsh=MWV4azU1NGI0bGNlcw==,,
178,India,instagram,gadgetbhaii,https://www.instagram.com/reel/DEPk4SGy6KY/?igsh=MTQ3emk1c2Zwa3Bq,,
179,India,youtube,Purecast56,https://www.youtube.com/watch?v=_wmBTJ8im3k,,
180,India,youtube,Purecast56,https://www.youtube.com/watch?v=6judpul8ksE,,
181,India,youtube,whysotechie,https://www.youtube.com/watch?v=FO7dHFHYlrs,,
182,India,youtube,whysotechie,https://www.youtube.com/shorts/kMEXXKP9xWk,,
183,India,youtube,whysotechie,https://www.youtube.com/watch?v=EEeomXmrfkQ,,
184,India,youtube,TrueTechy,https://www.youtube.com/watch?v=09zKXmIDMuc,,
185,India,youtube,Halka Tech,https://www.youtube.com/watch?v=_ZEX3hG1whM,,
186,India,youtube,Halka Tech,https://youtube.com/shorts/DuO-lk7YSQ8?si=Gz5MKspT3WP6knLY,,
187,India,instagram,Halka Tech,https://www.instagram.com/reel/DD6eGKtvBTw/?igsh=MWlkZHJ0dGJ6cTQ5bg==,,
188,India,youtube,Stereo,https://www.youtube.com/watch?v=CNMwVGE7880,,
189,India,youtube,Stereo,https://www.youtube.com/watch?v=wHEMo7_tsy8,,
