No.,platform,kol_account,kol_post_url
84,youtube,Nexgen Harley,https://www.youtube.com/watch?v=6PBQhJ-92Uk
85,instagram,himanshu,https://www.instagram.com/reel/DC6iWlxSje8/?igsh=ZzZ3cGcwZTV5bDhv
86,youtube,Rickyrodger,https://www.youtube.com/shorts/6uk7eUx6o8I
87,instagram,Rickyrodger,https://www.instagram.com/reel/DBMBsjiy65U/?igsh=MXFzdXJyazFqa2Q5dg==
88,youtube,Techmesh,https://www.youtube.com/watch?v=etBUVnYiPnk
89,youtube,TheHopelessGeek,https://www.youtube.com/watch?v=i1lr7wzvMgE
90,youtube,Techreflex,https://www.youtube.com/watch?v=UehOzq6SZos
91,youtube,Tech Bag Tamil,https://www.youtube.com/watch?v=TrsI1PfRZwA
92,youtube,mr rudee,https://www.youtube.com/watch?v=TN7Sjhz_XCM
93,youtube,iGadz Unique,https://www.youtube.com/watch?v=Gz_34v3N5eE
94,instagram,himanshu,https://www.instagram.com/reel/DC_t66mylrd/?igsh=Yzc0anA0a2tsbmU4
95,instagram,ask.theashugandhi,https://www.instagram.com/reel/DBrAB_aIsm3/?igsh=MWV4azU1NGI0bGNlcw==
96,instagram,gadgetbhaii,https://www.instagram.com/reel/DEPk4SGy6KY/?igsh=MTQ3emk1c2Zwa3Bq
97,youtube,Purecast56,https://www.youtube.com/watch?v=_wmBTJ8im3k
98,youtube,Purecast56,https://www.youtube.com/watch?v=6judpul8ksE
99,youtube,whysotechie,https://www.youtube.com/watch?v=FO7dHFHYlrs
100,youtube,whysotechie,https://www.youtube.com/shorts/kMEXXKP9xWk
101,youtube,whysotechie,https://www.youtube.com/watch?v=EEeomXmrfkQ
102,youtube,TrueTechy,https://www.youtube.com/watch?v=09zKXmIDMuc
103,youtube,Halka Tech,https://www.youtube.com/watch?v=_ZEX3hG1whM
104,youtube,Halka Tech,https://youtube.com/shorts/DuO-lk7YSQ8?si=Gz5MKspT3WP6knLY
105,instagram,Halka Tech,https://www.instagram.com/reel/DD6eGKtvBTw/?igsh=MWlkZHJ0dGJ6cTQ5bg==
106,youtube,Stereo,https://www.youtube.com/watch?v=CNMwVGE7880
107,youtube,Stereo,https://www.youtube.com/watch?v=wHEMo7_tsy8
